293	1.12	0.1001	4.40E-01
294	1.12	0.1501	3.91E-01
295	1.12	0.2	3.42E-01
296	1.12	0.2251	3.18E-01
297	1.12	0.2501	2.93E-01
298	1.12	0.275	2.69E-01
299	1.12	0.3	2.45E-01
300	1.12	0.33	2.16E-01
301	1.12	0.36	1.87E-01
302	1.1198	0.3901	1.58E-01
303	1.1198	0.42	1.30E-01
304	1.12	0.45	1.01E-01
305	1.12	0.48	7.27E-02
306	1.12	0.51	4.44E-02
307	1.12	0.54	1.62E-02
308	1.12	0.57	-1.19E-02
309	1.12	0.6	-3.99E-02
310	1.12	0.6251	-1.93E-02
311	1.12	0.65	1.26E-03
312	1.12	0.675	2.25E-02
313	1.12	0.7	4.42E-02
314	1.12	0.73	1.66E-02
315	1.12	0.76	-9.86E-03
316	1.18	0	5.50E-01
317	1.18	0.05	5.00E-01
318	1.18	0.1001	4.50E-01
319	1.18	0.1501	4.01E-01
320	1.18	0.2	3.52E-01
321	1.18	0.2251	3.28E-01
322	1.18	0.2501	3.03E-01
323	1.18	0.275	2.79E-01
324	1.18	0.3	2.55E-01
325	1.18	0.33	2.26E-01
326	1.18	0.36	1.97E-01
327	1.1798	0.39	1.69E-01
328	1.18	0.42	1.40E-01
329	1.18	0.45	1.12E-01
330	1.18	0.48	8.32E-02
331	1.18	0.51	5.49E-02
332	1.18	0.54	2.67E-02
333	1.18	0.57	-1.28E-03
334	1.18	0.6	-2.92E-02
335	1.18	0.6251	-7.48E-03
336	1.18	0.65	1.42E-02
337	1.18	0.675	3.61E-02
338	1.18	0.7	5.83E-02
339	1.18	0.73	3.07E-02
340	1.18	0.76	3.39E-03
341	1.18	0.79	-2.35E-02
342	1.24	0	5.59E-01
343	1.24	0.05	5.10E-01
344	1.24	0.1001	4.60E-01
345	1.24	0.1501	4.11E-01
346	1.24	0.2	3.62E-01
347	1.24	0.2251	3.37E-01
348	1.24	0.2501	3.13E-01
349	1.24	0.275	2.89E-01
350	1.24	0.3	2.65E-01
351	1.24	0.33	2.36E-01
352	1.24	0.36	2.07E-01
353	1.24	0.39	1.78E-01
